,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
334,Gra,5,2023-10-22,Ottimo,Ottimo acquisto. L’orologio si presenta bene come da caratteristiche descritte,it,Ottimo acquisto. L’orologio si presenta bene come da caratteristiche descritte
335,Bertini Nevio,5,2023-10-30,trovato cavo,ottimo prodotto,it,ottimo prodotto
336,Noemi ,5,2023-10-13,Bellissimo,"È stato un regalo molto apprezzato, lo smartwatch è molto comodo e reattivo nei comandi ha mille funzioni bello davvero.",it,"È stato un regalo molto apprezzato, lo smartwatch è molto comodo e reattivo nei comandi ha mille funzioni bello davvero."
337,Amazon Customer,5,2023-10-04,Eccellente,"Davvero un ottimo smartwatch. La possibilità di rispondere dall'orologio stesso è ottimale. Le rare volte che non si collega al telefono, basta aprire l'app e tutto si risolve. Davvero consigliato",it,"Davvero un ottimo smartwatch. La possibilità di rispondere dall'orologio stesso è ottimale. Le rare volte che non si collega al telefono, basta aprire l'app e tutto si risolve. Davvero consigliato"
338,roberto strenghetto,5,2023-08-24,Ci vuole pazienza,,,
339,Vincenzo,5,2023-10-18,Smartwatch uomo,Ottimo prodotto qualità prezzo lo consiglio,it,Ottimo prodotto qualità prezzo lo consiglio
340,Laura,5,2023-10-19,Spettaccolo,Perfetto proprio come me lo aspettavo!!,it,Perfetto proprio come me lo aspettavo!!
341,Daniela,5,2023-09-30,Smartwatch,"Cercavo questo tipo di oggetto da tanto tempo, ma non ho trovato niente.  Questo articolo è esattamente quello che cercavo, luminosità ottima, icone grandi, molto comodo e facile da usare.",it,"Cercavo questo tipo di oggetto da tanto tempo, ma non ho trovato niente.  Questo articolo è esattamente quello che cercavo, luminosità ottima, icone grandi, molto comodo e facile da usare."
342,frank,5,2023-08-28,Leggero e ottime qualità,"Uno Smartwatch con ottime funzioni, ha tutto ciò che serve senza troppi fronzoli, si può rispondere e chiamare direttamente dallo Smartwatch, l'audio è buono.Ha un sacco di funzioni, grande sorpresa per l'app che è super completa con una miriade di settaggi davvero ben fatti...La batteria dura una settimana circa con il monitoraggio del battito cardiaco sempre attivo.Mi sono piaciuti in particolar modo il sensore di luminosità che regola il display in base alla luce giorno e notte. Ottimo il settaggio per alexa che funziona bene. Sono rimasto veramente soddisfatto poi per il prezzo è davvero un best buy. Consigliato.",it,"Uno Smartwatch con ottime funzioni, ha tutto ciò che serve senza troppi fronzoli, si può rispondere e chiamare direttamente dallo Smartwatch, l'audio è buono.Ha un sacco di funzioni, grande sorpresa per l'app che è super completa con una miriade di settaggi davvero ben fatti...La batteria dura una settimana circa con il monitoraggio del battito cardiaco sempre attivo.Mi sono piaciuti in particolar modo il sensore di luminosità che regola il display in base alla luce giorno e notte. Ottimo il settaggio per alexa che funziona bene. Sono rimasto veramente soddisfatto poi per il prezzo è davvero un best buy. Consigliato."
343,Mariateresa,5,2023-09-30,Ottimo,"Il prodotto mi piace molto ed ha le caratteristiche che volevo, lo devo ancora testare in piscina",it,"Il prodotto mi piace molto ed ha le caratteristiche che volevo, lo devo ancora testare in piscina"
344,carmine,5,2023-10-06,Bello,"La batteria dura, ha molto funzioni un bel orologio",it,"La batteria dura, ha molto funzioni un bel orologio"
345,Bigdamy ,5,2023-10-14,Bene,Sodisfatto tutto ok funzionale,it,Sodisfatto tutto ok funzionale
346,Laura,5,2023-09-24,Smartwatch bellissimo,Rifinito bene ottimo materiale. Display con ottimi colori e tutte le applicazioni funzionano benissimo. Si può chiamare o rispondere con ricezione chiara. Lo consiglio! Prezzo molto interessante.,it,Rifinito bene ottimo materiale. Display con ottimi colori e tutte le applicazioni funzionano benissimo. Si può chiamare o rispondere con ricezione chiara. Lo consiglio! Prezzo molto interessante.
347,Monia,5,2023-10-14,Orologio,Buon prodotto.,it,Buon prodotto.
348,NICO,5,2023-10-15,"Smartwatch Uomo Chiamate, 1,7""",Ottimo,it,Ottimo
349,ROBERTA EFFE,5,2023-08-30,Molte funzioni a un prezzo ottimale,,,
350,Gigi.sporttime,5,2023-10-04,Precisi come sempre...,È un regalo..per ora non saprei cosa dire...,it,È un regalo..per ora non saprei cosa dire...
351,luigina dal poz,5,2023-09-18,Orologio Smart,Mi piace tantissimo per tutte le funzioni che mi fanno dire continuamente che meraviglia.  Unico neo la difficoltà nell'aprire e chiudere il cinturino.  Ottimo rapporto qualità prezzo,it,Mi piace tantissimo per tutte le funzioni che mi fanno dire continuamente che meraviglia.  Unico neo la difficoltà nell'aprire e chiudere il cinturino.  Ottimo rapporto qualità prezzo
352,safina_formisano,5,2023-10-11,Ottimo grazie,Ottimo grazie,it,Ottimo grazie
353,jessica,5,2023-09-22,Supera le aspettative,Smartwatch di alto livello rispetto al prezzo!Ottima durata di batteria e display personalizzabile. Anche la app funziona bene.Super consigliato anche per chi come me ha iPhone!,it,Smartwatch di alto livello rispetto al prezzo!Ottima durata di batteria e display personalizzabile. Anche la app funziona bene.Super consigliato anche per chi come me ha iPhone!
354,Olena,5,2023-09-29,Bello,Posso dire poco perché arrivato ieri. Funziona bene e mi piace molto,it,Posso dire poco perché arrivato ieri. Funziona bene e mi piace molto
355,Sofia,5,2023-10-08,Ottimo,Tutto,it,Tutto
356,Barbara b. ,5,2023-09-24,Gentilezza del corriere e orologio molto bello,"Consegnato rispettando l'orario di consegna. Corriere gentilissimo.Orologio molto bello, soddisfatta dell'acquisto. Lo consiglio.",it,"Consegnato rispettando l'orario di consegna. Corriere gentilissimo.Orologio molto bello, soddisfatta dell'acquisto. Lo consiglio."
357,Alessia ,5,2023-09-27,Ottimo,Ottimo orologio comodo e perfetto anche iPhone consiglio ❤️,it,Ottimo orologio comodo e perfetto anche iPhone consiglio ❤️
358,Cliente Amazon,5,2023-09-14,bello e funzionale,il calcolo dei battiti è corretto dopo qualche giorno che si utilizza.la batteria mi è durata 6 giorni quindi direi molto buona.funziona anche come telefono per rispondere.sono molto soddisfatta.,it,il calcolo dei battiti è corretto dopo qualche giorno che si utilizza.la batteria mi è durata 6 giorni quindi direi molto buona.funziona anche come telefono per rispondere.sono molto soddisfatta.
359,Paolo,5,2023-09-28,Smartwatch,Per adesso è tutto ok,it,Per adesso è tutto ok
360,Ricky,5,2023-09-25,Ottimo prodotto,Rapporto qualità prezzo ottimo,it,Rapporto qualità prezzo ottimo
361,Massimo P.,5,2023-09-26,Ok,X il momento tutto ok..,it,X il momento tutto ok..
362,Ariete,5,2023-09-18,Ottimo,"Ottimo prodotto qualità prezzo buon touch screen, buon microfono e altoparlanti tutto ok",it,"Ottimo prodotto qualità prezzo buon touch screen, buon microfono e altoparlanti tutto ok"
363,Nico B.,5,2023-08-02,Ottimo,"Smartwatch veramente ben fatto, ha un sacco di funzioni e una buona velocità di risposta, si collega all'account Amazon diventando a tutti gli effetti un dispositivo portatile con tutte le funzioni della piattaforma. Il monitoraggio del sonno è davvero fantastico, il contapassi pure, per non parlare degli esercizi fisici. I messaggi dal cellulare suonano/vibrano ancor prima che sul cellulare. La batteria è di lunga durata. Lo schermo ha una buona risoluzione con colori vividi che si adattano alla luce esterna. Sembra anche molto resistente, anche in piscina. Il prezzo è ottimo, avendo le stesse funzionalità di prodotti che costano molto di più. Veramente soddisfatto.",it,"Smartwatch veramente ben fatto, ha un sacco di funzioni e una buona velocità di risposta, si collega all'account Amazon diventando a tutti gli effetti un dispositivo portatile con tutte le funzioni della piattaforma. Il monitoraggio del sonno è davvero fantastico, il contapassi pure, per non parlare degli esercizi fisici. I messaggi dal cellulare suonano/vibrano ancor prima che sul cellulare. La batteria è di lunga durata. Lo schermo ha una buona risoluzione con colori vividi che si adattano alla luce esterna. Sembra anche molto resistente, anche in piscina. Il prezzo è ottimo, avendo le stesse funzionalità di prodotti che costano molto di più. Veramente soddisfatto."
364,Andrea Cusumano,5,2023-09-20,Ottima qualità prezzo,"Buon prodotto, elegante e sportivo",it,"Buon prodotto, elegante e sportivo"
365,Riccardo,5,2023-09-20,Orologio smartowoch,Ottimo prodotto  funziona benissimo,it,Ottimo prodotto  funziona benissimo
366,Ha soddisfatto le mie aspettative ,5,2023-09-19,funziona,ha soddisfatto le mie aspettative,it,ha soddisfatto le mie aspettative
367,Fabio 77,5,2023-09-10,Ottimo...,"Buon audio per le chiamate, leggero, e fa' tutto quello che serve",it,"Buon audio per le chiamate, leggero, e fa' tutto quello che serve"
368,Roberto Bellini,5,2023-09-10,Smartwatch,"Ottimo prodotto rapporto qualità prezzo, la batteria si scarica in 3 giorni e non in 7",it,"Ottimo prodotto rapporto qualità prezzo, la batteria si scarica in 3 giorni e non in 7"
369,marco campagnari,5,2023-09-13,Prodotto ottimo,,,
370,Cliente Amazon,5,2023-09-11,Bello bello,Lo sto indossando da una settimana e sono super soddisfatta!,it,Lo sto indossando da una settimana e sono super soddisfatta!
371,Sara,5,2023-09-11,Top,"Top, per il prezzo che ha, funziona divinamente.",it,"Top, per il prezzo che ha, funziona divinamente."
372,alessandra,5,2023-08-31,Buon prodotto,Per ora tutto bene anche la funzione chiamate è comoda. La carica dura circa 5 gg.,it,Per ora tutto bene anche la funzione chiamate è comoda. La carica dura circa 5 gg.
373,Luigi,5,2023-09-12,Orologio,"Comodo, e pratico, rientra nelle mie aspettative.",it,"Comodo, e pratico, rientra nelle mie aspettative."
374,Giuseppe,5,2023-09-05,Smartwatch,"Preso per mia moglie che è rimasta soddisfatta. Chiamate, notifiche, Alexa e tanto altro....consiglio.",it,"Preso per mia moglie che è rimasta soddisfatta. Chiamate, notifiche, Alexa e tanto altro....consiglio."
375,Francesco,5,2023-09-11,Ottimo acquisto,"Comodo, preciso e con tante funzioni",it,"Comodo, preciso e con tante funzioni"
376,Marco,5,2023-09-17,Perfetto,Tutto ok,it,Tutto ok
377,Cristian,5,2023-09-08,Ottimo rapporto qualità prezzo,Orologio bellissimo e facile da usare e installare,it,Orologio bellissimo e facile da usare e installare
378,Samu69 ,5,2023-09-16,Rapidità Della Consegna,,,
379,GIBBRY,5,2023-09-04,buon prodotto,"bel display, si connette bene allo smartphone, buona la qualità audio delle chiamate via orologio",it,"bel display, si connette bene allo smartphone, buona la qualità audio delle chiamate via orologio"
380,serena,5,2023-08-29,Comodità ed eleganza,"Mi piace tutto,trovo comodo il poter rispondere alle telefonate dal dispositivo, in alcuni momenti è d'aiuto!Facile da attivareComodo ed elegante",it,"Mi piace tutto,trovo comodo il poter rispondere alle telefonate dal dispositivo, in alcuni momenti è d'aiuto!Facile da attivareComodo ed elegante"
381,maria,5,2023-08-19,Ottimo prodotto,"Ottimo rapporto qualità prezzo. Fino ad ora nessun problema, e non penso ne avrò. Non ha nulla da invidiare ai nomi altisonanti  Venditore consigliato",it,"Ottimo rapporto qualità prezzo. Fino ad ora nessun problema, e non penso ne avrò. Non ha nulla da invidiare ai nomi altisonanti  Venditore consigliato"
382,Martino,5,2023-09-09,Smartwatch,Smartwatch incredibile ottimo prodotto lo consiglio,it,Smartwatch incredibile ottimo prodotto lo consiglio
383,Paolicchi Luca,5,2023-09-03,Ottimo,"Ottimo prodotto, ed anche il rapporto qualità prezzo!",it,"Ottimo prodotto, ed anche il rapporto qualità prezzo!"
384,antonio tufano,5,2023-09-11,Tutto ok,Tutto bene,it,Tutto bene
385,IOELE GIUSEPPE,5,2023-09-10,Soddisfatto,Venditore affidabile,it,Venditore affidabile
386,Tiziana,5,2023-08-25,Smartwacht bellissimo.,Mi è arrivato da poco e mi ha dato ottime impressioni perché è perfetto come lo cercavo io.,it,Mi è arrivato da poco e mi ha dato ottime impressioni perché è perfetto come lo cercavo io.
387, baro,5,2023-08-25,L’orologio,Va bene rapporto tra qualità e prezzo top,it,Va bene rapporto tra qualità e prezzo top
388,Anty,5,2023-08-07,Veramente una bella scoperta!,"A questo smartwatch non manca davvero nulla rispetto ad altri prodotti di prezzo più elevato, è stato davvero una piacevole scoperta!!Ho sempre letto di recensioni che dicevano che lo smartwatch rispondeva alle chiamate, ma non era mai così, beh con questo smartwatch è assolutamente possibile!! Lo consiglio davvero!",it,"A questo smartwatch non manca davvero nulla rispetto ad altri prodotti di prezzo più elevato, è stato davvero una piacevole scoperta!!Ho sempre letto di recensioni che dicevano che lo smartwatch rispondeva alle chiamate, ma non era mai così, beh con questo smartwatch è assolutamente possibile!! Lo consiglio davvero!"
389,Natalya,5,2023-08-27,Orologio,E semplicemente bellissimo!!!! Consigliato!!!,it,E semplicemente bellissimo!!!! Consigliato!!!
390,Cliente Amazon,5,2023-08-29,Ottimo,Ottimo,it,Ottimo
391,Laura La Fortezza,5,2023-08-14,Orologio,"Facile da usare,un regalo per 15enne sportiva",it,"Facile da usare,un regalo per 15enne sportiva"
392,Daniela,5,2023-07-28,Sembra un buon prodotto,,,
393,Albertina Colnaghi,5,2023-08-15,Buon acquisto👍👍👍,,,
394,teresa Rolfi,5,2023-08-09,Ottimo prodotto,Semplice e facile l'utilizzo,it,Semplice e facile l'utilizzo
395,Giulia Di Falco,5,2023-08-10,Buono,,,
396,Fatu,5,2023-08-07,Bello,Bellissimo ma non lo usato. Era per un regalo,it,Bellissimo ma non lo usato. Era per un regalo
397,Umberto,5,2023-03-09,Carino e funzionale,"Finalmente un modello (codice identificativo app Veryfit ID208) che fa funzionare Alexa con risposta VOCALE direttamente dall'orologio. Carino e comodo da indossare. A qualcuno ho sentito dire che non funzionavano in italiano con Alexa (sia 206 che 208). Non è assolutamente vero. Durante l'attivazione ed associazione ad Alexa il dispositivo viene impostato in inglese per default sull'app di Alexa. Basta ritornare sull'app di alexa ed impostare italiano per il dispositivo in questione e magicamente Alexa ""capirà"" le domande fatte in italiano e risponderà in italiano.Pienamente soddisfatto del prodotto. In precedenza avevo comprato pressoché lo stesso modello ma senza audio (al tempo non c'era. ID206)",it,"Finalmente un modello (codice identificativo app Veryfit ID208) che fa funzionare Alexa con risposta VOCALE direttamente dall'orologio. Carino e comodo da indossare. A qualcuno ho sentito dire che non funzionavano in italiano con Alexa (sia 206 che 208). Non è assolutamente vero. Durante l'attivazione ed associazione ad Alexa il dispositivo viene impostato in inglese per default sull'app di Alexa. Basta ritornare sull'app di alexa ed impostare italiano per il dispositivo in questione e magicamente Alexa ""capirà"" le domande fatte in italiano e risponderà in italiano.Pienamente soddisfatto del prodotto. In precedenza avevo comprato pressoché lo stesso modello ma senza audio (al tempo non c'era. ID206)"
398,iris,5,2023-08-08,Bello,"Lo trovo molto comodo e intuitivo, consigliato . Preso per iPhone nessun problema per il collegamento",it,"Lo trovo molto comodo e intuitivo, consigliato . Preso per iPhone nessun problema per il collegamento"
399,Cliente Amazon,5,2023-08-07,Ottimo,Bel orologio ottimo prezzo e funziona molto bene sono soddisfatto .,it,Bel orologio ottimo prezzo e funziona molto bene sono soddisfatto .
400,Nicola,5,2023-08-10,Top,Ottimo prodotto,it,Ottimo prodotto
401,rita,5,2023-08-02,Buono,Ottimo prodotto.Ed il colore è stupendo,it,Ottimo prodotto.Ed il colore è stupendo
402,Livia F.,5,2023-08-02,Funziona  benissimo,Non  si scollega  mai contrariamente ad altri.,ie,Non  si scollega  mai contrariamente ad altri.
403,francesco cerini,5,2023-07-25,Qualità/prezzo eccellente,Il prodotto ha tutte le funzioni più utili e risponde alle specifiche,it,Il prodotto ha tutte le funzioni più utili e risponde alle specifiche
404,annarita,5,2023-08-06,Ottimo acquisto,,,
405,Max,5,2023-07-30,Molto comodo,Buona visione ci vorrebbe un cinturino di ricambio,it,Buona visione ci vorrebbe un cinturino di ricambio
406,FRANC,5,2023-08-03,Ottimo,Ottimo,it,Ottimo
407,RITA,5,2023-07-08,Funzionale,"Non ne potrei più fare a meno,  ottimo anche con Alexa....durata della batteria buono",it,"Non ne potrei più fare a meno,  ottimo anche con Alexa....durata della batteria buono"
